Level,Next Level Up
1,0
2,100
3,300
4,600
5,1000
6,1500
7,2100
8,2800
9,3600
10,4500
11,5500
12,6600
13,7800
14,9100
15,10500
16,12000
17,13600
18,15300
19,17100
20,19000
21,21000
22,23100
23,25300
24,27600
25,30000
26,32500
27,35100
28,37800
29,40600
30,43500
31,46500
32,49600
33,52800
34,56100
35,59500
36,63000
37,66600
38,70300
39,74100
40,78000
41,82000
42,86100
43,90300
44,94600
45,99000
46,103500
47,108100
48,112800
49,117600
50,122500
51,127500
52,132600
53,137800
54,143100
55,148500
56,154000
57,159600
58,165300
59,171100
60,177000
61,183000
62,189100
63,195300
64,201600
65,208000
66,214500
67,221100
68,227800
69,234600
70,241500
71,248500
72,255600
73,262800
74,270100
75,277500
76,285000
77,292600
78,300300
79,308100
80,316000
81,324000
82,332100
83,340300
84,348600
85,357000
86,365500
87,374100
88,382300
89,391600
90,400500
91,418500
92,454900
93,510000
94,584500
95,678500
96,792500
97,926900
98,1082100
99,1258500
100,1456500
